Model,DPO4054
5.588e+08,-64.9062
5.600e+08,-63.8156
5.612e+08,-59.8219
5.625e+08,-55.8281
5.638e+08,-55.6625
5.650e+08,-55.4937
5.662e+08,-58.0875
5.675e+08,-60.6781
5.688e+08,-61.7
5.700e+08,-62.7219
5.713e+08,-69.2969
5.725e+08,-75.8688
5.738e+08,-69.125
5.750e+08,-62.3781
5.762e+08,-59.8594
5.775e+08,-57.3375
5.788e+08,-57.8687
5.800e+08,-58.4
5.812e+08,-58.7375
5.825e+08,-59.0719
5.838e+08,-56.4844
5.850e+08,-53.8937
5.862e+08,-54.3
5.875e+08,-54.7062
5.888e+08,-57.9937
5.900e+08,-61.2781
5.913e+08,-60.6281
5.925e+08,-59.975
5.938e+08,-62.4438
5.950e+08,-64.9094
5.962e+08,-59.55
5.975e+08,-54.1906
5.988e+08,-53.9562
6.000e+08,-53.7219
6.012e+08,-58.625
6.025e+08,-63.5281
6.038e+08,-63.0906
6.050e+08,-62.65
6.063e+08,-59.7844
6.075e+08,-56.9188
6.088e+08,-56.1719
6.100e+08,-55.425
6.112e+08,-61
6.125e+08,-66.575
6.138e+08,-64.3719
6.150e+08,-62.1656
6.162e+08,-60.7406
6.175e+08,-59.3125
6.188e+08,-59.4562
6.200e+08,-59.6
6.212e+08,-61.9031
6.225e+08,-64.2062
6.238e+08,-61.9188
6.250e+08,-59.6313
6.262e+08,-60.2844
6.275e+08,-60.9344
6.288e+08,-62.3594
6.300e+08,-63.7812
6.313e+08,-59.8969
6.325e+08,-56.0125
6.338e+08,-55.1156
6.350e+08,-54.2156
6.363e+08,-59.3125
6.375e+08,-64.4094
6.388e+08,-64.2062
6.400e+08,-64
6.413e+08,-61.2437
6.425e+08,-58.4875
6.438e+08,-58.6562
6.450e+08,-58.8219
6.463e+08,-59.0531
6.475e+08,-59.2812
6.488e+08,-65.8969
6.500e+08,-72.5094
6.512e+08,-68.7844
6.525e+08,-65.0563
6.538e+08,-66.8719
6.550e+08,-68.6875
6.562e+08,-64.0406
6.575e+08,-59.3937
6.588e+08,-58.9875
6.600e+08,-58.5812
6.612e+08,-58.5906
6.625e+08,-58.6
6.638e+08,-70.1094
6.650e+08,-81.6188
6.662e+08,-71.7531
6.675e+08,-61.8844
6.688e+08,-61.6031
6.700e+08,-61.3219
6.713e+08,-63.5719
6.725e+08,-65.8219
6.738e+08,-66.1562
6.750e+08,-66.4875
6.763e+08,-64.85
6.775e+08,-63.2125
6.788e+08,-62.5625
6.800e+08,-61.9094
6.813e+08,-60.9594
6.825e+08,-60.0063
6.838e+08,-62.2844
6.850e+08,-64.5594
6.862e+08,-64.7906
6.875e+08,-65.0219
6.888e+08,-62.1375
6.900e+08,-59.2531
6.912e+08,-61.1688
6.925e+08,-63.0812
6.938e+08,-61.2094
6.950e+08,-59.3375
6.962e+08,-57.5688
6.975e+08,-55.8
6.988e+08,-55.0969
7.000e+08,-54.3937
7.012e+08,-55.4813
7.025e+08,-56.5688
7.038e+08,-58.2938
7.050e+08,-60.0187
7.063e+08,-59.1187
7.075e+08,-58.2188
7.088e+08,-58.3625
7.100e+08,-58.5063
7.113e+08,-61.05
7.125e+08,-63.5906
7.138e+08,-64.1344
7.150e+08,-64.675
7.163e+08,-61.3219
7.175e+08,-57.9656
7.188e+08,-59.4781
7.200e+08,-60.9875
7.212e+08,-61.2062
7.225e+08,-61.425
7.238e+08,-58.8969
7.250e+08,-56.3656
7.262e+08,-57.3625
7.275e+08,-58.3563
7.288e+08,-63.6375
7.300e+08,-68.9156
7.312e+08,-67.4969
7.325e+08,-66.0781
7.338e+08,-65.8625
7.350e+08,-65.6437
7.362e+08,-68.7219
7.375e+08,-71.7969
7.388e+08,-70.4
7.400e+08,-69
7.413e+08,-67.6969
7.425e+08,-66.3937
7.438e+08,-65.5531
7.450e+08,-64.7125
7.463e+08,-64.2031
7.475e+08,-63.6906
7.488e+08,-60.5375
7.500e+08,-57.3813
7.513e+08,-58.1875
7.525e+08,-58.9937
7.538e+08,-59.2344
7.550e+08,-59.475
7.562e+08,-61.375
7.575e+08,-63.2719
7.588e+08,-64.5156
7.600e+08,-65.7594
7.612e+08,-64.3594
7.625e+08,-62.9562
7.638e+08,-75.3187
7.650e+08,-87.6781
7.662e+08,-77.25
7.675e+08,-66.8219
7.688e+08,-65.025
7.700e+08,-63.225
7.712e+08,-61.6844
7.725e+08,-60.1406
7.738e+08,-59.6812
7.750e+08,-59.2219
7.763e+08,-61.8969
7.775e+08,-64.5687
7.788e+08,-67.6344
7.800e+08,-70.7
7.813e+08,-72.2406
7.825e+08,-73.7812
7.838e+08,-68.7594
7.850e+08,-63.7344
7.863e+08,-60.7563
7.875e+08,-57.7781
7.888e+08,-59.7719
7.900e+08,-61.7625
7.913e+08,-64.725
7.925e+08,-67.6844
7.938e+08,-63.95
7.950e+08,-60.2125
7.962e+08,-59.0344
7.975e+08,-57.8563
7.988e+08,-58.775
8.000e+08,-59.6906
8.012e+08,-63.4375
8.025e+08,-67.1813
8.038e+08,-64.2875
8.050e+08,-61.3937
8.062e+08,-61.075
8.075e+08,-60.7563
8.088e+08,-59.5156
8.100e+08,-58.2719
8.113e+08,-59.5938
8.125e+08,-60.9156
8.138e+08,-65.3625
8.150e+08,-69.8063
8.163e+08,-67.3812
8.175e+08,-64.9531
8.188e+08,-69.9437
8.200e+08,-74.9344
8.213e+08,-74.4062
8.225e+08,-73.8781
8.238e+08,-69.6437
8.250e+08,-65.4094
8.263e+08,-62.725
8.275e+08,-60.0406
8.288e+08,-60.0063
8.300e+08,-59.9688
8.312e+08,-60.6187
8.325e+08,-61.2687
8.338e+08,-64.7531
8.350e+08,-68.2344
8.362e+08,-70.5219
8.375e+08,-72.8094
8.388e+08,-66.4688
8.400e+08,-60.1281
8.412e+08,-59.2531
8.425e+08,-58.375
8.438e+08,-59.1406
8.450e+08,-59.9062
8.463e+08,-63.7906
8.475e+08,-67.6719
8.488e+08,-66.3656
8.500e+08,-65.0594
8.513e+08,-69.2875
8.525e+08,-73.5125
8.538e+08,-71.4313
8.550e+08,-69.35
8.563e+08,-73.0875
8.575e+08,-76.825
8.588e+08,-68.8625
8.600e+08,-60.9
8.613e+08,-59.4531
8.625e+08,-58.0063
8.638e+08,-57.375
8.650e+08,-56.7406
8.662e+08,-56.7906
8.675e+08,-56.8375
8.688e+08,-60.0562
8.700e+08,-63.2719
8.712e+08,-63.2687
8.725e+08,-63.2656
8.738e+08,-64.5406
8.750e+08,-65.8156
8.762e+08,-69.0062
8.775e+08,-72.1969
8.788e+08,-67.5531
8.800e+08,-62.9062
8.813e+08,-61.7031
8.825e+08,-60.4969
8.838e+08,-60.7375
8.850e+08,-60.9781
8.863e+08,-60.6469
8.875e+08,-60.3125
8.888e+08,-60.9781
8.900e+08,-61.6406
8.913e+08,-61.4
8.925e+08,-61.1594
8.938e+08,-62.125
8.950e+08,-63.0875
8.963e+08,-61.9813
8.975e+08,-60.875
8.988e+08,-58.7844
9.000e+08,-56.6906
9.012e+08,-57.8
9.025e+08,-58.9094
9.038e+08,-63.4062
9.050e+08,-67.9
9.062e+08,-64.1281
9.075e+08,-60.3563
9.088e+08,-60.3844
9.100e+08,-60.4094
9.112e+08,-63.6594
9.125e+08,-66.9062
9.138e+08,-64.7781
9.150e+08,-62.6469
9.163e+08,-61.2812
9.175e+08,-59.9156
9.188e+08,-60.8563
9.200e+08,-61.7938
9.213e+08,-60.7781
9.225e+08,-59.7594
9.238e+08,-57.2875
9.250e+08,-54.8125
9.263e+08,-54.7156
9.275e+08,-54.6156
9.288e+08,-58.7375
9.300e+08,-62.8594
9.313e+08,-61.9156
9.325e+08,-60.9719
9.338e+08,-61.8375
9.350e+08,-62.7031
9.363e+08,-62.7344
9.375e+08,-62.7625
9.388e+08,-62.35
9.400e+08,-61.9375
9.412e+08,-62.6625
9.425e+08,-63.3875
9.438e+08,-66.6188
9.450e+08,-69.85
9.462e+08,-66.8937
9.475e+08,-63.9344
9.488e+08,-69.9469
9.500e+08,-75.9594
9.513e+08,-75.1094
9.525e+08,-74.2594
9.538e+08,-68.0563
9.550e+08,-61.85
9.563e+08,-61.1688
9.575e+08,-60.4875
9.588e+08,-63.2812
9.600e+08,-66.0719
9.613e+08,-65.8094
9.625e+08,-65.5438
9.638e+08,-63.2469
9.650e+08,-60.9469
9.663e+08,-61.6375
9.675e+08,-62.325
9.688e+08,-67.6156
9.700e+08,-72.9062
9.713e+08,-69.9062
9.725e+08,-66.9031
9.738e+08,-67.5281
9.750e+08,-68.1531
9.762e+08,-70.3844
9.775e+08,-72.6125
9.788e+08,-69.8125
9.800e+08,-67.0125
9.812e+08,-66.775
9.825e+08,-66.5375
9.838e+08,-64.0719
9.850e+08,-61.6031
9.862e+08,-60.125
9.875e+08,-58.6469
9.888e+08,-59.575
9.900e+08,-60.5
9.913e+08,-61.7125
9.925e+08,-62.925
9.938e+08,-63.5875
9.950e+08,-64.2469
9.963e+08,-66.5438
9.975e+08,-68.8406
9.988e+08,-70.1375
1.000e+09,-71.4313
1.001e+09,-67.6969
1.003e+09,-63.9594
1.004e+09,-63.2719
1.005e+09,-62.5844
1.006e+09,-66.4313
1.008e+09,-70.275
1.009e+09,-68.9219
1.010e+09,-67.5687
1.011e+09,-65.3781
1.013e+09,-63.1844
1.014e+09,-62.925
1.015e+09,-62.6625
1.016e+09,-63.6094
1.018e+09,-64.5563
1.019e+09,-68.5781
1.020e+09,-72.5969
1.021e+09,-66.3937
1.022e+09,-60.1906
1.024e+09,-59.7219
1.025e+09,-59.25
1.026e+09,-61.3844
1.028e+09,-63.5156
1.029e+09,-66.9062
1.030e+09,-70.2969
1.031e+09,-65.6906
1.033e+09,-61.0844
1.034e+09,-61.8719
1.035e+09,-62.6594
1.036e+09,-71.5094
1.038e+09,-80.3563
1.039e+09,-72.35
1.040e+09,-64.3406
1.041e+09,-62.6344
1.043e+09,-60.925
1.044e+09,-61.825
1.045e+09,-62.725
1.046e+09,-67.3625
1.048e+09,-72
1.049e+09,-73.125
1.050e+09,-74.25
1.051e+09,-68.9625
1.053e+09,-63.6719
1.054e+09,-68.9437
1.055e+09,-74.2125
1.056e+09,-69.85
1.058e+09,-65.4844
1.059e+09,-62.5
1.060e+09,-59.5156
1.061e+09,-61.1844
1.062e+09,-62.8531
1.064e+09,-66.2156
1.065e+09,-69.575
1.066e+09,-67.8937
1.068e+09,-66.2125
1.069e+09,-68.6312
1.070e+09,-71.05
1.071e+09,-68.0938
1.073e+09,-65.1375
1.074e+09,-63.3125
1.075e+09,-61.4844
1.076e+09,-62.2969
1.078e+09,-63.1063
1.079e+09,-67.9875
1.080e+09,-72.8688
1.081e+09,-67.4875
1.082e+09,-62.1063
1.084e+09,-65.9969
1.085e+09,-69.8844
1.086e+09,-65.6281
1.088e+09,-61.3719
1.089e+09,-60.3813
1.090e+09,-59.3875
1.091e+09,-62.175
1.092e+09,-64.9625
1.094e+09,-67.8563
1.095e+09,-70.7469
1.096e+09,-69.5844
1.098e+09,-68.4219
1.099e+09,-64.8531
1.100e+09,-61.2812
1.101e+09,-61.5187
1.103e+09,-61.7531
1.104e+09,-60.5562
1.105e+09,-59.3563
1.106e+09,-58.3656
1.108e+09,-57.3719
1.109e+09,-62.5906
1.110e+09,-67.8063
1.111e+09,-65.65
1.112e+09,-63.4937
1.114e+09,-61.3312
1.115e+09,-59.1656
1.116e+09,-58.675
1.118e+09,-58.1812
1.119e+09,-60.9375
1.120e+09,-63.6938
1.121e+09,-62.6281
1.122e+09,-61.5594
1.124e+09,-60.4469
1.125e+09,-59.3312
1.126e+09,-62.2437
1.128e+09,-65.1562
1.129e+09,-63.8375
1.130e+09,-62.5187
1.131e+09,-63.5594
1.132e+09,-64.5969
1.134e+09,-64.15
1.135e+09,-63.7
1.136e+09,-63.4469
1.138e+09,-63.1906
1.139e+09,-64.0563
1.140e+09,-64.9219
1.141e+09,-64.9313
1.143e+09,-64.9375
1.144e+09,-64.1344
1.145e+09,-63.3281
1.146e+09,-67.3844
1.148e+09,-71.4406
1.149e+09,-68.0312
1.150e+09,-64.6188
1.151e+09,-63.7344
1.152e+09,-62.8469
1.154e+09,-66.9813
1.155e+09,-71.1125
1.156e+09,-69.4281
1.158e+09,-67.7406
1.159e+09,-63.8156
1.160e+09,-59.8906
1.161e+09,-58.8594
1.162e+09,-57.8281
1.164e+09,-61.1594
1.165e+09,-64.4906
1.166e+09,-64.4781
1.168e+09,-64.4625
1.169e+09,-63.7313
1.170e+09,-62.9969
1.171e+09,-65.5656
1.172e+09,-68.1312
1.174e+09,-69.3688
1.175e+09,-70.6031
1.176e+09,-69.0219
1.178e+09,-67.4406
1.179e+09,-65.0906
1.180e+09,-62.7406
1.181e+09,-62.9656
1.183e+09,-63.1875
1.184e+09,-66.7062
1.185e+09,-70.2219
1.186e+09,-66.5656
1.188e+09,-62.9094
1.189e+09,-61.3375
1.190e+09,-59.7625
1.191e+09,-63.6969
1.192e+09,-67.6312
1.194e+09,-67.8906
1.195e+09,-68.15
1.196e+09,-67.0563
1.198e+09,-65.9625
1.199e+09,-68.2438
1.200e+09,-70.5219
1.201e+09,-66.7687
1.202e+09,-63.0125
1.204e+09,-63.7188
1.205e+09,-64.425
1.206e+09,-65.375
1.208e+09,-66.3219
1.209e+09,-64.6656
1.210e+09,-63.0063
1.211e+09,-62.5125
1.213e+09,-62.0187
1.214e+09,-61.6906
1.215e+09,-61.3594
1.216e+09,-61.2687
1.218e+09,-61.1781
1.219e+09,-63.7188
1.220e+09,-66.2594
1.221e+09,-63.1
1.222e+09,-59.9406
1.224e+09,-58.8969
1.225e+09,-57.85
1.226e+09,-58.3937
1.228e+09,-58.9344
1.229e+09,-58.425
1.230e+09,-57.9125
1.231e+09,-56.4781
1.232e+09,-55.0406
1.234e+09,-55.0938
1.235e+09,-55.1437
1.236e+09,-56.9094
1.238e+09,-58.675
1.239e+09,-59.6469
1.240e+09,-60.6187
1.241e+09,-65.3469
1.242e+09,-70.0719
1.244e+09,-66.4719
1.245e+09,-62.8687
1.246e+09,-61.3813
1.248e+09,-59.8906
1.249e+09,-63.3875

